url/0,city/0,roomType/0,rentPrice/0,surfaceSize/0
https://kamernet.nl/huren/kamer-nijmegen/harpstraat/kamer-2034603,Nijmegen, Kamer ," € 450,- ",27 
https://kamernet.nl/huren/kamer-amsterdam/kikkenstein/kamer-2034602,Amsterdam, Kamer ," € 500,- ",12 
https://kamernet.nl/huren/kamer-almere/jacques-perkstraat/kamer-2034599,Almere, Kamer ," € 600,- ",400 
https://kamernet.nl/huren/kamer-groningen/koninginnelaan/kamer-2034057,Groningen, Kamer ," € 345,- ",13 
https://kamernet.nl/huren/studio-den-haag/haagsestraat/studio-2034491,Den Haag, Studio ," € 594,- ",32 
https://kamernet.nl/huren/kamer-groningen/bankastraat/kamer-2034537,Groningen, Kamer ," € 400,- ",25 
https://kamernet.nl/huren/studio-utrecht/jansveld/studio-2033647,Utrecht, Studio ," € 850,- ",21 
https://kamernet.nl/huren/kamer-utrecht/johannes-gerobulusstraat/kamer-2024808,Utrecht, Kamer ," € 600,- ",17 
https://kamernet.nl/huren/appartement-rotterdam/zuidhoek/appartement-1895627,Rotterdam, Appartement ," € 975,- ",55 
https://kamernet.nl/huren/appartement-leeuwarden/skrok/appartement-2034155,Leeuwarden, Appartement ," € 2100,- ",105 
https://kamernet.nl/huren/kamer-enschede/bentelobrink/kamer-2034059,Enschede, Kamer ," € 250,- ",13 
https://kamernet.nl/huren/studio-groningen/nieuweweg/studio-2033105,Groningen, Studio ," € 480,- ",22 
https://kamernet.nl/huren/appartement-leeuwarden/mendelssohnstraat/appartement-2033679,Leeuwarden, Appartement ," € 760,- ",50 
https://kamernet.nl/huren/kamer-amsterdam/kromme-mijdrechtstraat/kamer-2033109,Amsterdam, Kamer ," € 900,- ",16 
https://kamernet.nl/huren/kamer-amsterdam/kromme-mijdrechtstraat/kamer-2033093,Amsterdam, Kamer ," € 950,- ",22 
https://kamernet.nl/huren/kamer-deventer/lange-rij/kamer-1865209,Deventer, Kamer ," € 435,- ",18 
https://kamernet.nl/huren/studio-groningen/hoogeweg/studio-2028050,Groningen, Studio ," € 795,- ",21 
https://kamernet.nl/huren/kamer-enschede/noorderhagen/kamer-1981767,Enschede, Kamer ," € 270,- ",20 
https://kamernet.nl/huren/kamer-leek/tolberterstraat/kamer-2034595,Leek, Kamer ," € 475,- ",25 
https://kamernet.nl/huren/kamer-amsterdam/nieuwendammerdijk/kamer-2034553,Amsterdam, Kamer ," € 774,- ",14 
https://kamernet.nl/huren/kamer-rotterdam/rozenlaan/kamer-2034568,Rotterdam, Kamer ," € 375,- ",8 
https://kamernet.nl/huren/kamer-enschede/keuperweg/kamer-2034578,Enschede, Kamer ," € 280,- ",12 
https://kamernet.nl/huren/kamer-delft/jacoba-van-beierenlaan/kamer-2034589,Delft, Kamer ," € 310,- ",14 
https://kamernet.nl/huren/kamer-leiden/vrijheidslaan/kamer-2034582,Leiden, Kamer ," € 350,- ",15 
https://kamernet.nl/huren/kamer-hoofddorp/graan-voor-visch/kamer-2026248,Hoofddorp, Kamer ," € 600,- ",35 
https://kamernet.nl/huren/kamer-rotterdam/hoogstraat/kamer-2034579,Rotterdam, Kamer ," € 750,- ",17 
https://kamernet.nl/huren/kamer-volendam/zuideinde/kamer-2034576,Volendam, Kamer ," € 300,- ",8 
https://kamernet.nl/huren/appartement-schiedam/boerhaavelaan/appartement-2034575,Schiedam, Appartement ," € 855,- ",40 
https://kamernet.nl/huren/kamer-amsterdam/cornelis-trooststraat/kamer-2034544,Amsterdam, Kamer ," € 780,- ",35 
https://kamernet.nl/huren/kamer-lent/pastoor-van-laakstraat/kamer-2034542,Lent, Kamer ," € 323,- ",17 
