,0,1,2,3,4
0,Python Developer - Focused on Cloud Automation,GIG Tech   -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Bash · Linux · PowerShell · Python · qemu · terraform · ansible,_blank
1,Senior Backend (Python) Engineer - Customer Domain,Nana -,"Sheraton, Cairo, Egypt ",Full TimeWork From HomeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Agile · Information Technology (IT) · JavaScript · MySQL · Software Development · Startup · Computer Science,_blank
2,Senior Python Engineer,Brainology -,"Cairo, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Information Technology (IT) · Engineering · Software Development,_blank
3,Senior Python Developer,Andela -,"Cairo, Egypt ",Full TimeFreelance / ProjectWork From HomeExperienced · 2 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · Software Engineering · Engineering · Software · Python · Technical Support,_blank
4,Senior Software Engineer - Python,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · Software Engineering · Framework · Software Development · AWS · Information Technology (IT) · javaScript,_blank
5,Software Engineer (Python),Paymob Solutions -,"Maadi, Cairo, Egypt ",Full TimeExperienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · AWS · Python · PHP · MySQL · JavaScript · JSON · Information Technology (IT) · HTML,_blank
6,Quality Automation Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Python · Automation Testing · Software Development · Performance · Computer Science · Information Technology (IT) · Software Engineering,_blank
7,Backend Software Engineer [Python],FlairsTech -,"Cairo, Egypt ",Full TimeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · AWS · SQL · backend · Cloud · TDD · APIs · Computer Science,_blank
8,Python API Developer Ocucon Team (UK) - (Alexandria),Procrew -,"Alexandria, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · RESTful APIs · Software Testing · Development · English · Information Technology (IT) · Framework · ORM,_blank
9,Senior Python Backend Developer,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Full TimeWork From HomeExperienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),_blank
10,Python Django Developer,Support Legal -,"Dubai, United Arab Emirates ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · Django · Python · Software Development · PostgreSQL · Computer Science · Engineering · Git,_blank
11,Java/Python Developer,Nabd -,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Python · Information Technology (IT) · Software Development · Software · IT · Communication skills · Computer Science,_blank
12,Senior Software Engineer - Python,Unifonic -,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · pthon · flask · Django · Agile · Computer Science · Engineering · Git · Information Technology (IT),_blank
13,Senior Python Linux Engineer,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Software Development · Python · C++ · Information Technology (IT) · Computer Science · SQL · Programming · Electronics,_blank
14,Experienced Python/Django Developer,Infoblink -,"Dokki, Giza, Egypt ",Full TimePart TimeWork From HomeExperienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · GitHUB · CSS · HTML · SaaS · Python · Information Technology (IT) · Node JS,_blank
