,Movie Title,IMDB Rating,Year,Link
0,"<td class=""titleColumn"">
      1.
      <a href=""/title/tt0111161/"" title=""Frank Darabont (dir.), Tim Robbins, Morgan Freeman"">The Shawshank Redemption</a>
<span class=""secondaryInfo"">(1994)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""9.2 based on 2,570,741 user ratings"">9.2</strong>
</td>","<span class=""secondaryInfo"">(1994)</span>",/title/tt0111161/
1,"<td class=""titleColumn"">
      2.
      <a href=""/title/tt0068646/"" title=""Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"">The Godfather</a>
<span class=""secondaryInfo"">(1972)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""9.2 based on 1,770,148 user ratings"">9.2</strong>
</td>","<span class=""secondaryInfo"">(1972)</span>",/title/tt0068646/
2,"<td class=""titleColumn"">
      3.
      <a href=""/title/tt0468569/"" title=""Christopher Nolan (dir.), Christian Bale, Heath Ledger"">The Dark Knight</a>
<span class=""secondaryInfo"">(2008)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""9.0 based on 2,536,606 user ratings"">9.0</strong>
</td>","<span class=""secondaryInfo"">(2008)</span>",/title/tt0468569/
3,"<td class=""titleColumn"">
      4.
      <a href=""/title/tt0071562/"" title=""Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"">The Godfather: Part II</a>
<span class=""secondaryInfo"">(1974)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""9.0 based on 1,224,309 user ratings"">9.0</strong>
</td>","<span class=""secondaryInfo"">(1974)</span>",/title/tt0071562/
4,"<td class=""titleColumn"">
      5.
      <a href=""/title/tt0050083/"" title=""Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"">12 Angry Men</a>
<span class=""secondaryInfo"">(1957)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""9.0 based on 759,219 user ratings"">9.0</strong>
</td>","<span class=""secondaryInfo"">(1957)</span>",/title/tt0050083/
5,"<td class=""titleColumn"">
      6.
      <a href=""/title/tt0108052/"" title=""Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"">Schindler's List</a>
<span class=""secondaryInfo"">(1993)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.9 based on 1,309,685 user ratings"">8.9</strong>
</td>","<span class=""secondaryInfo"">(1993)</span>",/title/tt0108052/
6,"<td class=""titleColumn"">
      7.
      <a href=""/title/tt0167260/"" title=""Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"">The Lord of the Rings: The Return of the King</a>
<span class=""secondaryInfo"">(2003)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.9 based on 1,768,482 user ratings"">8.9</strong>
</td>","<span class=""secondaryInfo"">(2003)</span>",/title/tt0167260/
7,"<td class=""titleColumn"">
      8.
      <a href=""/title/tt0110912/"" title=""Quentin Tarantino (dir.), John Travolta, Uma Thurman"">Pulp Fiction</a>
<span class=""secondaryInfo"">(1994)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.9 based on 1,973,334 user ratings"">8.9</strong>
</td>","<span class=""secondaryInfo"">(1994)</span>",/title/tt0110912/
8,"<td class=""titleColumn"">
      9.
      <a href=""/title/tt0120737/"" title=""Peter Jackson (dir.), Elijah Wood, Ian McKellen"">The Lord of the Rings: The Fellowship of the Ring</a>
<span class=""secondaryInfo"">(2001)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.8 based on 1,790,137 user ratings"">8.8</strong>
</td>","<span class=""secondaryInfo"">(2001)</span>",/title/tt0120737/
9,"<td class=""titleColumn"">
      10.
      <a href=""/title/tt0060196/"" title=""Sergio Leone (dir.), Clint Eastwood, Eli Wallach"">Il buono, il brutto, il cattivo</a>
<span class=""secondaryInfo"">(1966)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.8 based on 739,208 user ratings"">8.8</strong>
</td>","<span class=""secondaryInfo"">(1966)</span>",/title/tt0060196/
10,"<td class=""titleColumn"">
      11.
      <a href=""/title/tt0109830/"" title=""Robert Zemeckis (dir.), Tom Hanks, Robin Wright"">Forrest Gump</a>
<span class=""secondaryInfo"">(1994)</span>
</td>","<td class=""ratingColumn imdbRating"">
<strong title=""8.8 based on 1,983,035 user ratings"">8.8</strong>
</td>","<span class=""secondaryInfo"">(1994)</span>",/title/tt0109830/
